agreement_id,title_short,year,weapon_broad,actual_score,llm_score,llm_confidence,llm_reasoning
330001,Treaty Protocol I,1995,Nuclear Weapons,0,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWTf3qDKPHjA7nM2eZB'}"
340,Pelindaba Treaty,1996,Nuclear Weapons,3,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWTfSeXkgtgDX6FBHce'}"
340001,Treaty Protocol I,1996,Nuclear Weapons,0,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWTfoUNj1SUXSYV6hWo'}"
340002,Treaty Protocol II,1996,Nuclear Weapons,0,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWTgCHdS61KBUKGRLja'}"
340003,Treaty Protocol III,1996,Nuclear Weapons,0,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWTgjXwbnqXmfhdSMav'}"
342,Wassenaar Arrangement,1996,General / Unknown,2,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWThLFTLC66hqN5NZc8'}"
344,Agreement on Sub-Regional Arms Control,1996,General / Unknown,3,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWTi5tZ7R44Ps6LGhNq'}"
350,"Comprehensive Test ban Treaty, CTBT",1996,Nuclear Weapons,3,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWTiYvcb4NXdd8cVk1b'}"
360,"Mine ban Treaty, Ottowa Treaty, Ottawa Convention",1997,Conventional Weapons,3,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWTivVwi7Mxw42VexN2'}"
3621,Joint US Russian Statement on Chemical Weapons (Helsinki Agreement),1997,General / Unknown,0,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWTjNXhTFCQ7vUhGAP1'}"
3622,Joint Statement Concerning The Anti Ballistic Missile Treaty (Helsinki Agreement),1997,General / Unknown,0,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWTjw1ovjPiSpPQGRPU'}"
3623,Joint statement on Parameters On future Reduction In Nuclear Forces (Helsinki Agreement),1997,General / Unknown,0,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWTkSXR3jBDuuy2RVgc'}"
3624,Joint US Russian Statement on European Security (Helsinki Agreement),1997,General / Unknown,0,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWTkyXVmAiMxgLT67bW'}"
364,Agreement between the US and Republic of Kazakhstan Concearning Peaceful uses of Nuclear Energy,1997,General / Unknown,1,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWTmT3vWcadjALPoEB9'}"
370,"American Convention Against the Illicit Manufacturing of and Trafficking in Firearms, Ammunition, Explosives, and Other Related Materials",1997,Conventional Weapons,2,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWTrBorXxyGbtmNtMFb'}"
375,ECOWAS Moratorium,1998,General / Unknown,2,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWTrXPzR2tBBw2d47qk'}"
380,American Convention on Transparency in Conventional Weapons Acuisition,1999,Conventional Weapons,2,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWTruDQD73muR75FuUc'}"
382,Lahore Declaration,1999,General / Unknown,2,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWTsMzgPwFURX1WWQXe'}"
384,"Implementing Arrangement between the Department of Energy of the United States of America and the Ministry of Energy, Industry and Trade od the Republic of Kazakhstan concerning the Decomissioning of the BN-350 Reactor",1999,General / Unknown,1,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWTsmZNWWEszmuuJ4Vj'}"
386,JDEC MOA,2000,General / Unknown,2,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWTtCMMtjcgGP688hD6'}"
387,Bamako Declaration,2000,General / Unknown,0,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWTtaRc3ZZodMyigfhs'}"
388,PLNS MOU,2000,General / Unknown,2,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWTu5geYNovSV1pmqJx'}"
389,"Agreement between the US and Republic of Kazakhstan Concearning the destruction of Silo launchers of Inercontinental Ballisic Missiles, Emergency response, and the prevention of proliferation of WMD (Extended)",2000,General / Unknown,0,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWTucBZzUR3kcjquu4W'}"
390,SORT/Treaty of Moscow,2002,Nuclear Weapons,1,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWTv7CJ5rkcEuWFbjyu'}"
392,The Hague Code of Conduct (HCoC),2002,General / Unknown,2,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWTvhRA5jZF67dNwx5n'}"
394,Moscow Summit Joint Statement,2002,General / Unknown,0,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWTwK8QK6UY5RZr8oGS'}"
400,Nairobi Protocol,2004,Conventional Weapons,0,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWTwjBVSeNe38Nf7bFo'}"
405,India-Pakistan Missile Pre-Notification Agreement,2005,General / Unknown,2,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWTxFghCN4s1yrtbkha'}"
420,Central Asian Nuclear Weapons Free Zones,2006,Nuclear Weapons,1,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWTy2KEhetip6uqv3E1'}"
420001,(CANWFZ) Protocol I,2014,Nuclear Weapons,0,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWTySd3ex4KFAUfzrfT'}"
425,Ecowas Convention,2006,General / Unknown,0,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWTynTXy5q88d3ZoKZu'}"
427,"Agreement between the US and Republic of Kazakhstan Concearning the destruction of Silo launchers of Inercontinental Ballisic Missiles, Emergency response, and the prevention of proliferation of WMD (Extended & Amended)",2007,General / Unknown,0,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWTzSeCeq8x2vUj5kc8'}"
430,CCM,2008,Conventional Weapons,2,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWTzvAj8bBQcUsQjHKC'}"
440,Kinshasa Convention,2010,Conventional Weapons,2,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWU1ryFNS7XDxdBMvEy'}"
445,"AU Strategy on the Control of Illicit Proliferation, Circulation and Trafficking of SALW",2011,General / Unknown,0,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWU71XuZFXLsoBAx3e5'}"
446,CARICOM Declaration on Small Arms and Light Weapons,2011,General / Unknown,0,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWU7YHXRLg6Fx3jGsEp'}"
447,Implementing Arrangement between the Department of Energy of the United States of America and the Ministry of Industry and New Technologies of the Republic of Kazakhstan for Cooperation in the field of Nuclear Material Safeguards and Security,2011,General / Unknown,1,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWU7trw5AJ8pNtMd64X'}"
450,Arms Trade Treaty (ATT),2013,Conventional Weapons,2,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWU8FhQYhZfHETch6qf'}"
452,A New Legal Framework for U.S.-Russian Cooperation in Nuclear Nonproliferation and Security (Building upon the CTR Umbrella Agreement),2013,General / Unknown,0,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWU8gVhq2QqkYA8vptc'}"
460,JCPOA,2015,General / Unknown,3,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWU9B1isxM7HBdrJ7ar'}"
470,TPNW,2017,Nuclear Weapons,2,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWU9dHuzNEtHSDGztrr'}"
480,U.S.-Russia Presidential Joint Statement on Strategic Stability,2021,General / Unknown,0,-1,error,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZvWU9ydVcmwvvEfMKfHE'}"
